Zufriedenheit_Score,Fakultaet,Abschluss,Fachsemester,Qualitaet_Arbeitsbelastung_Rev,Effekt_Zeitaufwand_Rev,Einstellung_Uebung_Hilfreich_Num,Einstellung_Pflicht_Ball_Num,Einstellung_Mat_Ausreichend_Num,Einstellung_Aufschieben_Num,Einstellung_Effizienz_Num,Nutzung_Kurzskript_Num,Nutzung_Skript_Num,Nutzung_Mitschriften_Num,Nutzung_Video_Num,Nutzung_Musterloesung_Num,Nutzung_Buecher_Num,Nutzung_Altklausuren_Num,Nutzung_YouTube_Num,Nutzung_KI_Num,Qualitaet_Verstehen_Num,Qualitaet_Struktur_Num,Qualitaet_Einfachheit_Num,Qualitaet_Rechtzeitig_Num,Qualitaet_Arbeitsbelastung_Num,Qualitaet_Erleichterung_Num,Effekt_Sicherheit_Num,Effekt_Motivation_Num,Effekt_Selbststaendig_Num,Effekt_Stress_Num,Effekt_Zeitaufwand_Num,Effekt_Relevanz_Num
4,Informatik,Bachelor,3,4,4,2,4,2,5,4,2,4,3,3,5,1,5,3,5,3,2,3,2,2,4,4,3,5,3,2,3
5,Statistik,Bachelor,3,4,4,4,5,4,5,5,4,4,5,3,4,5,5,5,3,4,5,5,4,2,5,5,4,4,5,2,5
5,Physik,Bachelor,5,2,2,5,5,4,5,3,4,5,5,NA,5,3,5,4,3,4,3,5,NA,4,5,3,5,4,2,4,3
5,Physik,Bachelor,6,1,1,4,5,4,5,4,3,4,5,2,5,1,2,3,4,4,4,2,5,5,4,4,4,3,4,5,4
4,Statistik,Bachelor,5,2,3,5,5,4,5,5,3,4,2,3,5,1,5,5,5,4,3,2,4,4,2,4,4,4,2,3,4
3,Statistik,Bachelor,3,2,2,5,5,4,5,5,3,5,4,4,4,1,2,4,5,4,4,3,5,4,2,2,3,5,1,4,4
3,Statistik,Bachelor,12,2,4,4,4,2,4,4,4,1,2,3,4,1,5,4,5,4,4,5,5,4,5,4,5,5,5,2,4
2,Maschinenbau,Bachelor,3,3,2,4,4,4,3,5,1,4,3,3,4,1,4,4,5,3,2,1,4,3,3,3,1,3,2,4,2
2,Statistik,Bachelor,1,1,2,4,2,4,5,5,3,5,4,NA,3,1,NA,3,4,4,3,2,4,5,3,3,2,4,2,4,1
4,Statistik,Bachelor,NA,3,3,4,5,3,5,4,4,4,3,1,5,1,4,1,4,3,3,3,3,3,3,3,3,3,2,3,3
4,Chemie,Bachelor,3,1,2,4,4,5,4,5,3,5,4,5,5,3,4,3,3,4,3,2,5,5,5,4,3,3,2,4,4
4,Maschinenbau,Bachelor,3,2,2,5,3,4,1,5,NA,4,5,2,3,1,5,3,5,4,3,4,3,4,4,2,3,4,3,4,3
5,Statistik,Bachelor,3,4,2,5,4,4,2,3,5,5,3,1,5,2,4,3,3,4,4,2,5,2,4,4,2,4,2,4,3
3,Statistik,Bachelor,1,3,2,4,3,3,2,5,3,5,5,NA,5,2,4,4,3,4,3,2,3,3,4,2,3,4,2,4,2
